time,direction,accel,label,recording_num
0.051,m_x,0.05,Expeliarmus,gesture 1
0.1,m_x,-0.1,Expeliarmus,gesture 1
0.152,m_x,-0.1,Expeliarmus,gesture 1
0.204,m_x,0.69,Expeliarmus,gesture 1
0.253,m_x,-0.12,Expeliarmus,gesture 1
0.307,m_x,0.51,Expeliarmus,gesture 1
0.354,m_x,-0.79,Expeliarmus,gesture 1
0.405,m_x,-0.9,Expeliarmus,gesture 1
0.457,m_x,-0.44,Expeliarmus,gesture 1
0.507,m_x,0.71,Expeliarmus,gesture 1
0.566,m_x,0.15,Expeliarmus,gesture 1
0.609,m_x,-0.29,Expeliarmus,gesture 1
0.66,m_x,-1.31,Expeliarmus,gesture 1
0.711,m_x,-4.21,Expeliarmus,gesture 1
0.762,m_x,-6.43,Expeliarmus,gesture 1
0.812,m_x,-5.32,Expeliarmus,gesture 1
0.863,m_x,-0.9,Expeliarmus,gesture 1
0.913,m_x,4.98,Expeliarmus,gesture 1
0.964,m_x,4.99,Expeliarmus,gesture 1
1.015,m_x,3.93,Expeliarmus,gesture 1
1.066,m_x,2.01,Expeliarmus,gesture 1
1.117,m_x,0.36,Expeliarmus,gesture 1
1.168,m_x,-0.36,Expeliarmus,gesture 1
1.219,m_x,-0.62,Expeliarmus,gesture 1
1.27,m_x,-0.82,Expeliarmus,gesture 1
1.322,m_x,1.96,Expeliarmus,gesture 1
1.374,m_x,3.4,Expeliarmus,gesture 1
1.424,m_x,0.72,Expeliarmus,gesture 1
1.475,m_x,0.58,Expeliarmus,gesture 1
1.526,m_x,0.39,Expeliarmus,gesture 1
1.577,m_x,0.24,Expeliarmus,gesture 1
1.628,m_x,-0.09,Expeliarmus,gesture 1
1.678,m_x,0.24,Expeliarmus,gesture 1
1.729,m_x,0.11,Expeliarmus,gesture 1
1.78,m_x,0.06,Expeliarmus,gesture 1
1.831,m_x,-0.04,Expeliarmus,gesture 1
1.882,m_x,-0.01,Expeliarmus,gesture 1
1.933,m_x,0.03,Expeliarmus,gesture 1
1.984,m_x,-0.12,Expeliarmus,gesture 1
2.035,m_x,-0.24,Expeliarmus,gesture 1
2.086,m_x,-0.22,Expeliarmus,gesture 1
2.136,m_x,-0.11,Expeliarmus,gesture 1
2.187,m_x,0,Expeliarmus,gesture 1
2.238,m_x,0.03,Expeliarmus,gesture 1
2.289,m_x,0.06,Expeliarmus,gesture 1
2.339,m_x,0.05,Expeliarmus,gesture 1
2.39,m_x,0.01,Expeliarmus,gesture 1
2.442,m_x,-0.07,Expeliarmus,gesture 1
2.492,m_x,-0.09,Expeliarmus,gesture 1
2.542,m_x,0.04,Expeliarmus,gesture 1
2.594,m_x,0.02,Expeliarmus,gesture 1
2.645,m_x,0.04,Expeliarmus,gesture 1
2.696,m_x,-0.06,Expeliarmus,gesture 1
2.747,m_x,0.13,Expeliarmus,gesture 1
2.797,m_x,-0.05,Expeliarmus,gesture 1
2.847,m_x,0.15,Expeliarmus,gesture 1
2.898,m_x,0.04,Expeliarmus,gesture 1
2.948,m_x,-0.05,Expeliarmus,gesture 1
2.999,m_x,0.01,Expeliarmus,gesture 1
3.05,m_x,0.04,Expeliarmus,gesture 1
