time,direction,accel,label,recording_num
0.052,m_x,-0.01,Arresto Momento,gesture 1
0.101,m_x,-0.01,Arresto Momento,gesture 1
0.152,m_x,0.04,Arresto Momento,gesture 1
0.204,m_x,0.04,Arresto Momento,gesture 1
0.254,m_x,0.74,Arresto Momento,gesture 1
0.308,m_x,0.74,Arresto Momento,gesture 1
0.356,m_x,0.8,Arresto Momento,gesture 1
0.408,m_x,0.8,Arresto Momento,gesture 1
0.459,m_x,-0.9,Arresto Momento,gesture 1
0.51,m_x,-0.9,Arresto Momento,gesture 1
0.57,m_x,-1.22,Arresto Momento,gesture 1
0.611,m_x,-1.22,Arresto Momento,gesture 1
0.662,m_x,-2.15,Arresto Momento,gesture 1
0.713,m_x,-2.15,Arresto Momento,gesture 1
0.764,m_x,-0.47,Arresto Momento,gesture 1
0.814,m_x,-0.47,Arresto Momento,gesture 1
0.865,m_x,1.75,Arresto Momento,gesture 1
0.915,m_x,1.75,Arresto Momento,gesture 1
0.966,m_x,0.13,Arresto Momento,gesture 1
1.016,m_x,0.13,Arresto Momento,gesture 1
1.069,m_x,-0.57,Arresto Momento,gesture 1
1.118,m_x,-0.57,Arresto Momento,gesture 1
1.168,m_x,0.4,Arresto Momento,gesture 1
1.219,m_x,0.4,Arresto Momento,gesture 1
1.27,m_x,-1.16,Arresto Momento,gesture 1
1.32,m_x,-1.16,Arresto Momento,gesture 1
1.372,m_x,0.04,Arresto Momento,gesture 1
1.422,m_x,0.04,Arresto Momento,gesture 1
1.472,m_x,-0.57,Arresto Momento,gesture 1
1.524,m_x,-0.57,Arresto Momento,gesture 1
1.574,m_x,-0.45,Arresto Momento,gesture 1
1.624,m_x,-0.45,Arresto Momento,gesture 1
1.676,m_x,-0.17,Arresto Momento,gesture 1
1.727,m_x,-0.17,Arresto Momento,gesture 1
1.778,m_x,-0.93,Arresto Momento,gesture 1
1.829,m_x,-0.93,Arresto Momento,gesture 1
1.879,m_x,0.63,Arresto Momento,gesture 1
1.929,m_x,0.63,Arresto Momento,gesture 1
1.98,m_x,0.69,Arresto Momento,gesture 1
2.03,m_x,0.69,Arresto Momento,gesture 1
2.081,m_x,0.13,Arresto Momento,gesture 1
2.131,m_x,0.13,Arresto Momento,gesture 1
2.181,m_x,0.18,Arresto Momento,gesture 1
2.232,m_x,0.18,Arresto Momento,gesture 1
2.282,m_x,0.06,Arresto Momento,gesture 1
2.333,m_x,0.06,Arresto Momento,gesture 1
2.384,m_x,0.07,Arresto Momento,gesture 1
2.435,m_x,0.07,Arresto Momento,gesture 1
2.485,m_x,-0.05,Arresto Momento,gesture 1
2.535,m_x,-0.05,Arresto Momento,gesture 1
2.586,m_x,0.12,Arresto Momento,gesture 1
2.636,m_x,0.12,Arresto Momento,gesture 1
2.687,m_x,0,Arresto Momento,gesture 1
2.737,m_x,0,Arresto Momento,gesture 1
2.788,m_x,0.01,Arresto Momento,gesture 1
2.839,m_x,0.01,Arresto Momento,gesture 1
2.89,m_x,0.1,Arresto Momento,gesture 1
2.94,m_x,0.1,Arresto Momento,gesture 1
2.99,m_x,0.05,Arresto Momento,gesture 1
3.04,m_x,0.05,Arresto Momento,gesture 1
0.052,m_y,-0.11,Arresto Momento,gesture 1
0.101,m_y,-0.11,Arresto Momento,gesture 1
0.152,m_y,-0.07,Arresto Momento,gesture 1
0.204,m_y,-0.07,Arresto Momento,gesture 1
0.254,m_y,-0.17,Arresto Momento,gesture 1
0.308,m_y,-0.17,Arresto Momento,gesture 1
0.356,m_y,1.4,Arresto Momento,gesture 1
0.408,m_y,1.4,Arresto Momento,gesture 1
0.459,m_y,-0.01,Arresto Momento,gesture 1
0.51,m_y,-0.01,Arresto Momento,gesture 1
0.57,m_y,-1.08,Arresto Momento,gesture 1
0.611,m_y,-1.08,Arresto Momento,gesture 1
0.662,m_y,-3.6,Arresto Momento,gesture 1
0.713,m_y,-3.6,Arresto Momento,gesture 1
0.764,m_y,4.28,Arresto Momento,gesture 1
0.814,m_y,4.28,Arresto Momento,gesture 1
0.865,m_y,10.92,Arresto Momento,gesture 1
0.915,m_y,10.92,Arresto Momento,gesture 1
0.966,m_y,8.88,Arresto Momento,gesture 1
1.016,m_y,8.88,Arresto Momento,gesture 1
1.069,m_y,7.21,Arresto Momento,gesture 1
1.118,m_y,7.21,Arresto Momento,gesture 1
1.168,m_y,-3.92,Arresto Momento,gesture 1
1.219,m_y,-3.92,Arresto Momento,gesture 1
1.27,m_y,-1.06,Arresto Momento,gesture 1
1.32,m_y,-1.06,Arresto Momento,gesture 1
1.372,m_y,9.04,Arresto Momento,gesture 1
1.422,m_y,9.04,Arresto Momento,gesture 1
1.472,m_y,11.31,Arresto Momento,gesture 1
1.524,m_y,11.31,Arresto Momento,gesture 1
1.574,m_y,10.81,Arresto Momento,gesture 1
1.624,m_y,10.81,Arresto Momento,gesture 1
1.676,m_y,2.03,Arresto Momento,gesture 1
1.727,m_y,2.03,Arresto Momento,gesture 1
1.778,m_y,-2.02,Arresto Momento,gesture 1
1.829,m_y,-2.02,Arresto Momento,gesture 1
1.879,m_y,-0.51,Arresto Momento,gesture 1
1.929,m_y,-0.51,Arresto Momento,gesture 1
1.98,m_y,0.03,Arresto Momento,gesture 1
2.03,m_y,0.03,Arresto Momento,gesture 1
2.081,m_y,0.02,Arresto Momento,gesture 1
2.131,m_y,0.02,Arresto Momento,gesture 1
2.181,m_y,-0.1,Arresto Momento,gesture 1
2.232,m_y,-0.1,Arresto Momento,gesture 1
2.282,m_y,-0.05,Arresto Momento,gesture 1
2.333,m_y,-0.05,Arresto Momento,gesture 1
2.384,m_y,-0.07,Arresto Momento,gesture 1
2.435,m_y,-0.07,Arresto Momento,gesture 1
2.485,m_y,-0.05,Arresto Momento,gesture 1
2.535,m_y,-0.05,Arresto Momento,gesture 1
