"","time","direction","accel","label","recording_num"
"1",1514829051555,"x",-0.1733,"Accio","gesture 1"
"2",1514829051571,"x",-0.1733,"Accio","gesture 1"
"3",1514829051585,"x",-0.1733,"Accio","gesture 1"
"4",1514829051602,"x",-0.1733,"Accio","gesture 1"
"5",1514829051618,"x",-0.1733,"Accio","gesture 1"
"6",1514829051635,"x",-0.1733,"Accio","gesture 1"
"7",1514829051702,"x",0.0203,"Accio","gesture 1"
"8",1514829051719,"x",0.0296,"Accio","gesture 1"
"9",1514829051736,"x",0.181,"Accio","gesture 1"
"10",1514829051752,"x",0.2885,"Accio","gesture 1"
"11",1514829051768,"x",0.2919,"Accio","gesture 1"
"12",1514829051786,"x",0.2765,"Accio","gesture 1"
"13",1514829051802,"x",0.044,"Accio","gesture 1"
"14",1514829051818,"x",-0.0739,"Accio","gesture 1"
"15",1514829051836,"x",-0.1932,"Accio","gesture 1"
"16",1514829051853,"x",0.3073,"Accio","gesture 1"
"17",1514829051869,"x",0.2859,"Accio","gesture 1"
"18",1514829051886,"x",1.709,"Accio","gesture 1"
"19",1514829051903,"x",1.368,"Accio","gesture 1"
"20",1514829051920,"x",0.7964,"Accio","gesture 1"
"21",1514829051936,"x",-0.8551,"Accio","gesture 1"
"22",1514829051952,"x",-4.4742,"Accio","gesture 1"
"23",1514829051970,"x",-8.2491,"Accio","gesture 1"
"24",1514829051986,"x",-6.9122,"Accio","gesture 1"
"25",1514829052003,"x",-2.5387,"Accio","gesture 1"
"26",1514829052019,"x",-1.8219,"Accio","gesture 1"
"27",1514829052036,"x",-1.568,"Accio","gesture 1"
"28",1514829052053,"x",-1.524,"Accio","gesture 1"
"29",1514829052069,"x",-2.2707,"Accio","gesture 1"
"30",1514829052086,"x",-2.3959,"Accio","gesture 1"
"31",1514829052104,"x",1.0773,"Accio","gesture 1"
"32",1514829052125,"x",2.0056,"Accio","gesture 1"
"33",1514829052136,"x",0.7343,"Accio","gesture 1"
"34",1514829052152,"x",0.4248,"Accio","gesture 1"
"35",1514829052169,"x",0.92,"Accio","gesture 1"
"36",1514829052186,"x",1.8878,"Accio","gesture 1"
"37",1514829052202,"x",0.7503,"Accio","gesture 1"
"38",1514829052219,"x",0.9839,"Accio","gesture 1"
"39",1514829052237,"x",2.3678,"Accio","gesture 1"
"40",1514829052253,"x",6.0437,"Accio","gesture 1"
"41",1514829052269,"x",8.907,"Accio","gesture 1"
"42",1514829052286,"x",12.3558,"Accio","gesture 1"
"43",1514829052302,"x",13.5686,"Accio","gesture 1"
"44",1514829052319,"x",13.9599,"Accio","gesture 1"
"45",1514829052336,"x",13.0164,"Accio","gesture 1"
"46",1514829052352,"x",4.1805,"Accio","gesture 1"
"47",1514829052369,"x",-3.8941,"Accio","gesture 1"
"48",1514829052386,"x",-24.3757,"Accio","gesture 1"
"49",1514829052402,"x",-36.3092,"Accio","gesture 1"
"50",1514829052419,"x",-32.8581,"Accio","gesture 1"
"51",1514829052437,"x",-16.9749,"Accio","gesture 1"
"52",1514829052453,"x",-13.2844,"Accio","gesture 1"
"53",1514829052469,"x",-12.1965,"Accio","gesture 1"
"54",1514829052486,"x",-8.2181,"Accio","gesture 1"
"55",1514829052502,"x",-1.7313,"Accio","gesture 1"
"56",1514829052519,"x",1.8524,"Accio","gesture 1"
"57",1514829052536,"x",10.1354,"Accio","gesture 1"
"58",1514829052552,"x",15.7738,"Accio","gesture 1"
"59",1514829052569,"x",17.9869,"Accio","gesture 1"
"60",1514829052586,"x",18.6787,"Accio","gesture 1"
"61",1514829052603,"x",13.3671,"Accio","gesture 1"
"62",1514829052619,"x",10.4246,"Accio","gesture 1"
"63",1514829052636,"x",-0.7397,"Accio","gesture 1"
"64",1514829052652,"x",-11.0483,"Accio","gesture 1"
"65",1514829052669,"x",-12.9404,"Accio","gesture 1"
"66",1514829052687,"x",-14.4725,"Accio","gesture 1"
"67",1514829052703,"x",-17.759,"Accio","gesture 1"
"68",1514829052719,"x",-18.5227,"Accio","gesture 1"
"69",1514829052737,"x",-18.3305,"Accio","gesture 1"
"70",1514829052753,"x",-14.4781,"Accio","gesture 1"
"71",1514829052769,"x",-11.5915,"Accio","gesture 1"
"72",1514829052786,"x",-5.8131,"Accio","gesture 1"
"73",1514829052802,"x",-1.0264,"Accio","gesture 1"
"74",1514829052819,"x",1.3896,"Accio","gesture 1"
"75",1514829052836,"x",7.4209,"Accio","gesture 1"
"76",1514829052852,"x",12.9746,"Accio","gesture 1"
"77",1514829052869,"x",14.7552,"Accio","gesture 1"
"78",1514829052887,"x",14.0042,"Accio","gesture 1"
"79",1514829052902,"x",11.5857,"Accio","gesture 1"
"80",1514829052919,"x",10.6199,"Accio","gesture 1"
"81",1514829052936,"x",4.8685,"Accio","gesture 1"
"82",1514829052953,"x",-6.6486,"Accio","gesture 1"
"83",1514829052969,"x",-13.2185,"Accio","gesture 1"
"84",1514829052987,"x",-23.7488,"Accio","gesture 1"
"85",1514829053002,"x",-24.0905,"Accio","gesture 1"
"86",1514829053019,"x",-21.3416,"Accio","gesture 1"
"87",1514829053036,"x",-14.6964,"Accio","gesture 1"
"88",1514829053052,"x",-10.7181,"Accio","gesture 1"
"89",1514829053069,"x",-9.2441,"Accio","gesture 1"
"90",1514829053086,"x",-4.4602,"Accio","gesture 1"
"91",1514829053103,"x",1.4512,"Accio","gesture 1"
"92",1514829053119,"x",3.2413,"Accio","gesture 1"
"93",1514829053136,"x",5.8285,"Accio","gesture 1"
