time,direction,accel,label,recording_num
0.051,m_x,-0.19,Incendio,1
0.1,m_x,-0.29,Incendio,1
0.151,m_x,-0.41,Incendio,1
0.202,m_x,-0.92,Incendio,1
0.253,m_x,-2.63,Incendio,1
0.304,m_x,-2.39,Incendio,1
0.354,m_x,-2.11,Incendio,1
0.407,m_x,-1.11,Incendio,1
0.455,m_x,0.2,Incendio,1
0.505,m_x,-0.18,Incendio,1
0.556,m_x,0.91,Incendio,1
0.606,m_x,-0.08,Incendio,1
0.664,m_x,-2.98,Incendio,1
0.707,m_x,-4.51,Incendio,1
0.757,m_x,-3.36,Incendio,1
0.807,m_x,-0.22,Incendio,1
0.859,m_x,-0.14,Incendio,1
0.909,m_x,0.24,Incendio,1
0.959,m_x,2.41,Incendio,1
1.01,m_x,2.94,Incendio,1
1.062,m_x,8.1,Incendio,1
1.111,m_x,15.93,Incendio,1
1.161,m_x,7.8,Incendio,1
1.212,m_x,-12.64,Incendio,1
1.264,m_x,-9.98,Incendio,1
1.314,m_x,-6.68,Incendio,1
1.364,m_x,-4.88,Incendio,1
1.414,m_x,-2.12,Incendio,1
1.465,m_x,-0.96,Incendio,1
1.515,m_x,-1.01,Incendio,1
1.566,m_x,-0.81,Incendio,1
1.616,m_x,-0.05,Incendio,1
1.666,m_x,0.04,Incendio,1
1.716,m_x,0.16,Incendio,1
1.767,m_x,0.13,Incendio,1
1.817,m_x,-0.01,Incendio,1
1.868,m_x,-0.1,Incendio,1
1.918,m_x,-0.16,Incendio,1
1.969,m_x,-0.11,Incendio,1
2.02,m_x,-0.21,Incendio,1
2.07,m_x,-0.16,Incendio,1
2.12,m_x,-0.12,Incendio,1
2.171,m_x,-0.11,Incendio,1
2.222,m_x,-0.09,Incendio,1
2.273,m_x,-0.17,Incendio,1
2.323,m_x,-0.06,Incendio,1
2.374,m_x,-0.1,Incendio,1
2.425,m_x,-0.15,Incendio,1
2.476,m_x,-0.07,Incendio,1
2.527,m_x,-0.11,Incendio,1
2.578,m_x,-0.08,Incendio,1
2.629,m_x,-0.07,Incendio,1
2.68,m_x,-0.18,Incendio,1
2.73,m_x,-0.08,Incendio,1
2.78,m_x,-0.13,Incendio,1
2.831,m_x,-0.16,Incendio,1
2.881,m_x,-0.19,Incendio,1
2.932,m_x,0.06,Incendio,1
2.982,m_x,-0.24,Incendio,1
3.032,m_x,-0.06,Incendio,1
0.051,m_y,0.63,Incendio,1
0.1,m_y,0.42,Incendio,1
0.151,m_y,0.47,Incendio,1
0.202,m_y,0.06,Incendio,1
0.253,m_y,-2.75,Incendio,1
0.304,m_y,-5.7,Incendio,1
0.354,m_y,-5.2,Incendio,1
0.407,m_y,4.97,Incendio,1
